"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006334",5.09927294269873e-31,39.7849462365591,1.7982799061767,30,75,"nucleosome assembly"
"2","GO:0031497",1.99548360773579e-29,33.7066342057212,1.99009642950222,30,83,"chromatin assembly"
"3","GO:0034728",3.44889224612713e-28,29.7177419354839,2.15793588741204,30,90,"nucleosome organization"
"4","GO:0065004",2.49886371426348e-26,24.6841397849462,2.44566067240031,30,102,"protein-DNA complex assembly"
"5","GO:0006333",3.46926225522412e-26,24.3393725143615,2.469637737816,30,103,"chromatin assembly or disassembly"
"6","GO:0006323",2.35125996829753e-24,20.3448275862069,2.80531665363565,30,117,"DNA packaging"
"7","GO:0071824",3.10209180303123e-24,20.108137829912,2.82929371905134,30,118,"protein-DNA complex subunit organization"
"8","GO:0071103",7.27870548131985e-22,15.9897360703812,3.35678915819651,30,140,"DNA conformation change"
"9","GO:0034622",6.30567791346447e-15,7.17119532106738,7.60072973677352,34,317,"cellular protein-containing complex assembly"
"10","GO:0006325",2.85057926505415e-14,6.75608349671318,7.98436278342455,34,333,"chromatin organization"
"11","GO:0045653",8.04670198691481e-14,Inf,0.191816523325515,8,8,"negative regulation of megakaryocyte differentiation"
"12","GO:0045652",1.16649112029206e-12,101.41265060241,0.311701850403961,9,13,"regulation of megakaryocyte differentiation"
"13","GO:0065003",2.12953856188973e-11,5.04990925589837,10.573885848319,35,441,"protein-containing complex assembly"
"14","GO:0051276",2.16475848958093e-10,4.50137362637363,12.0844409695074,36,504,"chromosome organization"
"15","GO:0030219",2.3870225066886e-10,36.8083242059146,0.479541308313787,9,20,"megakaryocyte differentiation"
"16","GO:0043933",1.00138049757919e-08,3.80723527858463,13.8347667448528,36,577,"protein-containing complex subunit organization"
"17","GO:0032200",1.95314441130001e-08,25.3809523809524,0.527495439145166,8,22,"telomere organization"
"18","GO:0000723",1.95314441130001e-08,25.3809523809524,0.527495439145166,8,22,"telomere maintenance"
"19","GO:1903707",2.06266742768405e-08,10.6528846153846,1.53453218660412,12,64,"negative regulation of hemopoiesis"
"20","GO:0060968",2.93643840849352e-08,23.6825396825397,0.551472504560855,8,23,"regulation of gene silencing"
"21","GO:0090304",4.9951263207348e-08,3.49291660203712,45.8681261402137,71,1913,"nucleic acid metabolic process"
"22","GO:0034080",2.17848863443927e-07,23.641628959276,0.479541308313787,7,20,"CENP-A containing nucleosome assembly"
"23","GO:0061641",2.17848863443927e-07,23.641628959276,0.479541308313787,7,20,"CENP-A containing chromatin organization"
"24","GO:0006336",2.17848863443927e-07,23.641628959276,0.479541308313787,7,20,"DNA replication-independent nucleosome assembly"
"25","GO:0034724",2.17848863443927e-07,23.641628959276,0.479541308313787,7,20,"DNA replication-independent nucleosome organization"
"26","GO:0006139",3.09668286943061e-07,3.28911599386817,48.6494657284337,72,2029,"nucleobase-containing compound metabolic process"
"27","GO:0022607",3.259255942263e-07,3.19726295210166,16.4962210059943,37,688,"cellular component assembly"
"28","GO:0002683",3.29535439526077e-07,7.17194092827004,2.32577534532187,13,97,"negative regulation of immune system process"
"29","GO:0031055",4.60856926382791e-07,20.478431372549,0.527495439145166,7,22,"chromatin remodeling at centromere"
"30","GO:0046483",4.63737829170693e-07,3.23324885960466,49.0330987750847,72,2045,"heterocycle metabolic process"
"31","GO:0045638",5.09216277560897e-07,11.8352232459249,1.03101381287464,9,43,"negative regulation of myeloid cell differentiation"
"32","GO:0006725",5.66212811063062e-07,3.20565371024735,49.2249152984102,72,2053,"cellular aromatic compound metabolic process"
"33","GO:0043486",8.99348378472396e-07,18.0595155709343,0.575449569976544,7,24,"histone exchange"
"34","GO:1901360",9.4950859909028e-07,3.13426573426573,49.7284336721397,72,2074,"organic cyclic compound metabolic process"
"35","GO:1903706",1.45299205979926e-06,6.18869894297273,2.63747719572583,13,110,"regulation of hemopoiesis"
"36","GO:0045596",2.69773305586337e-06,3.96825396825397,6.35392233515768,20,265,"negative regulation of cell differentiation"
"37","GO:0051093",3.34437072902468e-06,3.66206563706564,7.62470680218921,22,318,"negative regulation of developmental process"
"38","GO:0006310",3.62584473643885e-06,6.8310502283105,2.0140734949179,11,84,"DNA recombination"
"39","GO:0043044",3.6775472407887e-06,13.9363636363636,0.695334897054991,7,29,"ATP-dependent chromatin remodeling"
"40","GO:0034508",3.6775472407887e-06,13.9363636363636,0.695334897054991,7,29,"centromere complex assembly"
"41","GO:0048015",4.06895955222881e-06,7.61885076477883,1.65441751368256,10,69,"phosphatidylinositol-mediated signaling"
"42","GO:0048017",4.65434781106884e-06,7.48983739837398,1.67839457909825,10,70,"inositol lipid-mediated signaling"
"43","GO:0044085",6.3630451548429e-06,2.75032114624506,18.5342715663279,37,773,"cellular component biogenesis"
"44","GO:0050793",7.91385617405398e-06,2.76767285861713,17.1436017722179,35,715,"regulation of developmental process"
"45","GO:0006996",1.15824222037233e-05,2.53635505193579,26.4946572843367,46,1105,"organelle organization"
"46","GO:0040034",1.19956531368439e-05,23.8569604086845,0.335678915819651,5,14,"regulation of development, heterochronic"
"47","GO:0034641",1.26194383238196e-05,2.77748344370861,52.4138649986969,72,2186,"cellular nitrogen compound metabolic process"
"48","GO:0048534",1.33276901829456e-05,3.51885644768856,7.04925723221267,20,294,"hematopoietic or lymphoid organ development"
"49","GO:0030097",1.33496910793805e-05,3.6386301369863,6.44983059682043,19,269,"hemopoiesis"
"50","GO:0045637",1.41515686737266e-05,6.49699540473666,1.89418816783946,10,79,"regulation of myeloid cell differentiation"
"51","GO:0002520",2.09160410849025e-05,3.39811542991755,7.26505082095387,20,303,"immune system development"
"52","GO:0051298",2.19815386058665e-05,8.19933554817276,1.22283033620016,8,51,"centrosome duplication"
"53","GO:0007098",3.06441759294494e-05,6.65963855421687,1.65441751368256,9,69,"centrosome cycle"
"54","GO:0006259",3.19504099752301e-05,3.04054054054054,9.42298670836591,23,393,"DNA metabolic process"
"55","GO:2000026",3.4364840137416e-05,2.7202893457506,13.6909043523586,29,571,"regulation of multicellular organismal development"
"56","GO:0061309",3.55907092415671e-05,34,0.215793588741204,4,9,"cardiac neural crest cell development involved in outflow tract morphogenesis"
"57","GO:0031023",4.33791371037416e-05,6.33734939759036,1.72634870992963,9,72,"microtubule organizing center organization"
"58","GO:0051320",4.85131500812315e-05,6.23663403614458,1.75032577534532,9,73,"S phase"
