"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006334",2.88360025536577e-17,22.8678571428571,1.44644253322909,19,75,"nucleosome assembly"
"2","GO:0031497",2.29819245654276e-16,19.9661931818182,1.60072973677352,19,83,"chromatin assembly"
"3","GO:0034728",1.17076787703798e-15,17.9636363636364,1.7357310398749,19,90,"nucleosome organization"
"4","GO:0065004",1.38042453283878e-14,15.3165388828039,1.96716184519156,19,102,"protein-DNA complex assembly"
"5","GO:0006333",1.6690842891933e-14,15.1300865800866,1.98644774563461,19,103,"chromatin assembly or disassembly"
"6","GO:0006323",1.93234684048979e-13,12.9192949907236,2.25645035183737,19,117,"DNA packaging"
"7","GO:0071824",2.27101475618595e-13,12.7853076216713,2.27573625228043,19,118,"protein-DNA complex subunit organization"
"8","GO:0071103",5.51690113332911e-12,10.3978963185575,2.70002606202763,19,140,"DNA conformation change"
"9","GO:0034622",9.51753865796507e-09,5.32126183806856,6.11363044044827,23,317,"cellular protein-containing complex assembly"
"10","GO:0006325",2.46447955578069e-08,5.02333965844402,6.42220484753714,23,333,"chromatin organization"
"11","GO:0045652",6.46790340027849e-08,47.3445378151261,0.250716705759708,6,13,"regulation of megakaryocyte differentiation"
"12","GO:0045653",1.24712736620214e-07,90.8212560386473,0.154287203544436,5,8,"negative regulation of megakaryocyte differentiation"
"13","GO:0065003",1.09287244660573e-06,3.85151079136691,8.50508209538702,24,441,"protein-containing complex assembly"
"14","GO:0090304",1.22047191057789e-06,3.44507479716024,36.8939275475632,57,1913,"nucleic acid metabolic process"
"15","GO:0030219",1.31240901243275e-06,23.6281512605042,0.385718008861089,6,20,"megakaryocyte differentiation"
"16","GO:0050793",2.494756704453e-06,3.2452400380797,13.7894188167839,31,715,"regulation of developmental process"
"17","GO:1903707",2.64713066934077e-06,9.33482517482518,1.23429762835549,9,64,"negative regulation of hemopoiesis"
"18","GO:0060968",3.26463875192148e-06,19.4429065743945,0.443575710190253,6,23,"regulation of gene silencing"
"19","GO:0051276",3.43686048901226e-06,3.49793362021218,9.72009382329945,25,504,"chromosome organization"
"20","GO:0040034",4.07228079816116e-06,30.2254428341385,0.270002606202763,5,14,"regulation of development, heterochronic"
"21","GO:0045596",7.0594389201327e-06,4.22715053763441,5.11076361740943,17,265,"negative regulation of cell differentiation"
"22","GO:0002683",1.25754526684641e-05,6.60201149425287,1.87073234297628,10,97,"negative regulation of immune system process"
"23","GO:0006139",1.33458381583703e-05,3.04519150459372,39.1310919989575,57,2029,"nucleobase-containing compound metabolic process"
"24","GO:0061309",1.4938084641415e-05,42.9485714285714,0.17357310398749,4,9,"cardiac neural crest cell development involved in outflow tract morphogenesis"
"25","GO:0046483",1.81902824513228e-05,2.9936974789916,39.4396664060464,57,2045,"heterocycle metabolic process"
"26","GO:0051093",2.07755262416421e-05,3.71035714285714,6.13291634089132,18,318,"negative regulation of developmental process"
"27","GO:0006725",2.1198601521616e-05,2.96826004951079,39.5939536095908,57,2053,"cellular aromatic compound metabolic process"
"28","GO:0048534",2.81978570194357e-05,3.75337260117804,5.67005473025801,17,294,"hematopoietic or lymphoid organ development"
"29","GO:0030917",2.88086001701247e-05,18.1062801932367,0.385718008861089,5,20,"midbrain-hindbrain boundary development"
"30","GO:1901360",3.15015972934152e-05,2.90244684884365,39.998957518895,57,2074,"organic cyclic compound metabolic process"
"31","GO:2000026",3.26127595892931e-05,3.00609254690887,11.0122491529841,25,571,"regulation of multicellular organismal development"
"32","GO:0048523",3.3429492122966e-05,2.63672862453532,26.7881157154027,44,1389,"negative regulation of cellular process"
"33","GO:0045595",3.36860849737058e-05,3.11422804415884,9.62366432108418,23,499,"regulation of cell differentiation"
"34","GO:0030097",3.59929372820336e-05,3.82717732043069,5.18790721918165,16,269,"hemopoiesis"
"35","GO:0061308",3.79912396294664e-05,30.6612244897959,0.212144904873599,4,11,"cardiac neural crest cell development involved in heart development"
"36","GO:1903706",3.83592280451425e-05,5.7234375,2.12144904873599,10,110,"regulation of hemopoiesis"
"37","GO:0043933",3.91162101947449e-05,2.96787193138125,11.1279645556424,25,577,"protein-containing complex subunit organization"
"38","GO:0002520",4.17285633821531e-05,3.62587412587413,5.8436278342455,17,303,"immune system development"
"39","GO:0032774",4.57423836962693e-05,2.58826130752033,26.1516810007819,43,1356,"RNA biosynthetic process"
"40","GO:0097659",4.57423836962693e-05,2.58826130752033,26.1516810007819,43,1356,"nucleic acid-templated transcription"
"41","GO:0006351",4.57423836962693e-05,2.58826130752033,26.1516810007819,43,1356,"transcription, DNA-templated"
"42","GO:0032200",4.74798383656544e-05,15.9676044330776,0.424289809747198,5,22,"telomere organization"
"43","GO:0000723",4.74798383656544e-05,15.9676044330776,0.424289809747198,5,22,"telomere maintenance"
"44","GO:0061307",5.61566659101636e-05,26.8214285714286,0.231430805316654,4,12,"cardiac neural crest cell differentiation involved in heart development"
"45","GO:2000226",6.70050426058072e-05,79.4577464788732,0.0964295022152723,3,5,"regulation of pancreatic A cell differentiation"
