"","amanitin.st8to10.uni.mean","cMO.st8to10.uni.mean","BmpLOF.st8to10.uni.mean","NodalLOF.st8to10.uni.mean","NBLOF.st8to10.uni.mean","WntLOF.st8to10.uni.mean","WBLOF.st8to10.uni.mean","WNLOF.st8to10.uni.mean","WNBLOF.st8to10.uni.mean","mPouVLOF.st8to10.uni.mean","mPSLOF.st8to10.uni.mean","mVegTLOF.st8to10.uni.mean","4xTkd.st10to12.cMO.mean","amanitin.st8to10.uni.mean.padj","cMO.st8to10.uni.mean.padj","BmpLOF.st8to10.uni.mean.padj","NodalLOF.st8to10.uni.mean.padj","NBLOF.st8to10.uni.mean.padj","WntLOF.st8to10.uni.mean.padj","WBLOF.st8to10.uni.mean.padj","WNLOF.st8to10.uni.mean.padj","WNBLOF.st8to10.uni.mean.padj","mPouVLOF.st8to10.uni.mean.padj","mPSLOF.st8to10.uni.mean.padj","mVegTLOF.st8to10.uni.mean.padj","4xTkd.st10to12.cMO.mean.padj","intron.or.exon","baseMean.e","av.log2FC.e","av.padj.e","dv.log2FC.e","dv.padj.e","baseMean.i","av.log2FC.i","av.padj.i","dv.log2FC.i","dv.padj.i","av.pattern.G","dv.pattern.G","pol2.8.mean","pol2.8p.mean","pol2.11.mean","stage","maternal.tpm","meanSt8to11.tpm"
"Xetro.A00005|ube2r2",44.2177656066483,125.492410597094,93.3433445206393,90.9324212929654,92.1562161149704,140.512575149872,145.234650274621,111.904108286254,103.86880412747,209.447846279565,365.977238899775,147.719547272602,141.048940308452,0.0413529652766456,1,1,1,1,1,1,1,1,1.61776812706629e-06,5.36791881126344e-17,0.171775880029546,0.0473084358368323,0,1180.77212844017,0.523888441700583,1,0.000862671541608553,1,53.7391600487015,1.3770129254235,0.425338727406147,-0.513849846249845,1,0.523888441700583,0.000862671541608553,0.870881493512058,1.35842891310199,1.6505662763996,11,2.87308162735898,3.79753411577189
"Xetro.A00007|dcaf12",30.2446889100983,90.1703928252665,84.2021553350341,87.2672461737134,124.303644917871,115.872574978639,91.4494918629848,98.6448279654534,108.553103481331,169.302332492165,244.43196786061,129.076117096185,119.208052893375,5.46306136029811e-06,1,1,1,1,1,1,1,1,0.00251721647976193,2.37405015845389e-09,0.413363078699378,0.2244787489054,0,668.144858013029,-0.915751443433687,0.280266670830328,-0.0428209339356195,1,42.7831266591326,1.1358694537594,0.492824867284854,0.64132864327221,1,-0.915751443433687,-0.0428209339356195,2.42099659220023,5.21508475031827,4.15064043822036,8.5,147.16419686777,138.458784545215
"Xetro.A00008|ubap1",47.9999883717642,103.176632292568,114.021484171247,115.455461571646,102.572813483509,116.194806297781,103.169776290037,119.73249737731,103.969256974169,227.498214345304,252.350243106293,97.9556133591703,133.509263312658,0.00606295277387769,1,1,1,1,1,1,1,1,6.05520137383149e-13,9.03831764119476e-17,1,0.0120553052638229,0,1627.93909264896,-0.107300127689821,1,0.0210201112124613,1,67.8397517679274,0.609329895418191,0.846465201303863,0.0286953342687354,1,-0.107300127689821,0.0210201112124613,1.27562463494426,4.97505423324632,3.13875446769736,8.5,83.6707044674107,56.7654442262027
"Xetro.A00014|vwa5a",22.644559133383,103.443847324876,99.9432262703139,28.8341075159807,22.6070812257362,26.8570416528961,11.1796993475576,12.8828873573969,8.77622810325826,277.442126651706,714.439091379722,90.5833714266425,87.9925446310917,0.00970323649007458,1,1,1,0.964490675411965,0.65372110943504,0.072786415830677,0.10297706040989,0.0202815650097436,0.0720676117432221,2.21212336367101e-05,1,0.904298344223198,1,17.21200674928,-2.34314344671239,0.527269944070904,0.88866366460374,1,3.18716472427705,-2.4193966600597,0.901616746749648,1.25201513942784,1,-2.34314344671239,0.88866366460374,NA,NA,NA,NA,0.480021617749642,0.385340649797763
"Xetro.A00020|vcp",41.6950849940291,108.242298524734,105.179229697213,109.140055934309,125.334173128062,115.651824943175,165.690831834215,141.730021923341,157.066307540338,192.530296044151,299.892255400344,108.455275247811,97.9688164650767,2.50604716135372e-06,1,1,1,1,1,1,1,1,9.40167195144053e-05,1.26757949149971e-12,0.994023633260902,0.80087610798203,0,9265.03123334264,0.56707991450484,0.032114815942423,0.0822441030734042,1,53.8145310180144,0.495305283611118,0.981622320296014,-0.0919373469354336,1,0.56707991450484,0.0822441030734042,1.83478686874206,2.4400660003184,1.20939064005689,8,120.606563257237,111.257114191588
"Xetro.A00025|stoml2",29.0628123207988,106.963022242155,78.3918766933585,87.995897321863,106.378897114569,121.411845315845,101.687155882819,99.97423477286,105.295672387654,174.426084214364,295.201597780104,133.669173363908,92.0912978626357,4.96746778559097e-06,1,1,1,1,1,1,1,1,1.58737395312632e-05,3.47394404852896e-20,0.250187597982826,0.592082107836862,0,2468.90423563212,0.356721195221844,0.978649832703679,0.105866583969991,1,35.7469283487139,0.843299894275721,0.787149477855834,-0.00914010220557511,1,0.356721195221844,0.105866583969991,3.15548287728473,9.95355469476113,2.54611745380225,8,113.817188906495,84.7388319554869
"Xetro.A00030|unnamed",19.0770198092884,89.5761868791086,88.3538988862551,76.0364956001248,63.2274875293056,114.114454918441,79.4514460111878,78.6275079559101,56.0988576195604,384.966344364468,960.771456419795,135.90742529238,78.7597320415977,0.0201376945608976,1,1,1,1,1,1,1,1,2.47818325367295e-05,1.91608325175844e-15,0.48187463994547,0.287879584379144,1,137.545113580069,1.63268808400566,0.00928060303923543,-0.210744793940874,1,40.940367054973,1.74131949413212,0.0938963823050815,-0.168396126567148,1,1.74131949413212,-0.210744793940874,0.896154239502018,0.756829172725337,0.752681436519182,0,0.0124067950150497,1.03191412542854
"Xetro.A00059|celf4",24.9705971528991,121.808062491522,114.350632084207,82.6205136370704,70.5514889714008,106.782214895817,56.9833586276606,53.6570276164183,52.4193485824579,63.6152535812615,110.319575972101,121.842962413581,88.7727674165359,0.00174815746312904,1,1,1,1,1,0.667730030521833,0.473511668727782,0.298945072993067,0.111195528011811,0.345229439020559,0.960151033626526,0.891923970307966,0,42.1354965440296,-0.264453643431362,1,0.350443323281646,1,58.0043879412332,0.0580142232678239,1,-0.100856800640691,1,-0.264453643431362,0.350443323281646,NA,NA,NA,NA,0.247547432260575,0.262361113153521
"Xetro.A00060|",0.213360754519328,118.549803680604,81.46777076768,51.5279404791137,53.6538931019812,100.970450808087,45.4033939912972,47.1218503644241,30.0585774785234,43.7256215414337,63.4893276093368,81.0840609915964,61.9070429760803,3.24970768861554e-56,1,1,1,1,0.982889339470306,0.394289236129619,0.523256813511729,0.010504173175369,1.91448739018717e-19,4.76860655521885e-07,0.284856183185902,1.90385699074717e-05,1,34.5805732822179,-1.3762801107965,0.646738900104713,0.173224154491641,1,0,NA,NA,NA,NA,-1.3762801107965,0.173224154491641,3.8001667868463,7.99404383394022,12.4808625970861,11,0,49.1642074057945
"Xetro.A00076|elac1",47.9552135136726,100.681156853522,102.290120445706,107.58049991163,107.805826431476,139.423477746751,128.436032275141,119.152443654291,133.463096657249,108.60925109847,129.163206959512,114.812706314211,99.2342329667172,0.00107181451560756,1,1,1,1,1,1,1,1,0.354210457908495,0.0265293833476435,0.847472356975843,0.987007934696259,0,574.765944620895,-0.707058251435206,0.437390232507753,-0.294355843970505,1,29.6089532381942,0.447577661024419,1,-0.333502067455603,1,-0.707058251435206,-0.294355843970505,0.895236663189947,1.62187230410062,1.82635222844021,0,59.6872618108035,29.1273019414579
