## ACTIVE GENE SELECTION CRITERIA based on... 
# (1) riboZero RNA can be detected reliably for differential expression analysis 
## i.e. min. average of 3 t.p.m. over 3 consecutive time points (~30 min intervals) UP TO STAGE 13 (~12 hpf) 
# (2) RNAPII ChIP enrichment conditions (covering at least 80% of the genebody): 
## 2.6-fold at this stage OR 
## 1.8-fold at this stage AND 1.4-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.8-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.4-fold at next two stages 
# (3) optional: H3K4me3 mark within genebody 

## rzRNA data selection for RNAPII ChIP: 
## +/- 1h from ChIP time point, min. average of 0.1 t.p.m. (=detection limit) over 3 consecutive time points 

## ZYGOTIC GENOME ACTIVATION: 
# Total number of genes with transcripts: 12969 
# Number of activated genes at this stage: 724 
# Percentage of genes that activated at this stage: 5.58254298712314 

scaffold	start	end	gene.length	pol2.6.mean	pol2.7.mean	pol2.8.mean	pol2.8p.mean	pol2.11.mean	pol2.12p.mean	tu.st8p.toInput	tu.st10p.toInput	maternal.tpm	h3k4me3	h3k36me3
Xetro.A03177|msx1	scaffold_1	193641314	193644541	3228	0.808328684798421	1.43110321817455	1.84737794428919	1.34084745907844	21.4109027999887	40.5592860666065	NA	NA	0.182229837041376	1	1
Xetro.A03178|	scaffold_1	193643551	193644537	987	0.412699273281874	1.16514741037695	1.17026460063203	0.913670229298157	19.5872111532641	37.472771282502	NA	NA	0.249185807776663	1	1
Xetro.H01135|dlc	scaffold_8	55664068	55675259	11192	0.994675940343843	0.80578413995738	1.5259561591635	1.57197682891551	17.8882776542182	16.9202562783698	NA	8.13725531964284	0.725778872887263	1	1
Xetro.I00884|ag1	scaffold_9	48220912	48227789	6878	1.21630276912539	1.036753308974	0.858666253815697	1.14078815033213	14.1667821814973	12.9216217005054	NA	9.85267671135133	0.551915206901514	1	1
Xetro.B01816|cdx2	scaffold_2	106292189	106299957	7769	1.39367795052438	2.34854158522479	5.36312217101188	0.879730091842511	13.4991822745631	16.5262454886974	NA	6.12687459361343	0.0571260732992884	1	1
Xetro.C01601|myf5	scaffold_3	81286564	81289726	3163	0.872951098072192	1.03002273815984	0.957581724953674	0.627638400750063	12.6079029354105	17.2863020432861	NA	1.17176476602857	2.55478297210737	1	1
Xetro.A00060|	scaffold_1	2303649	2305723	2075	1.16308025459787	1.47631170969495	3.8001667868463	7.99404383394022	12.4808625970861	7.76423098247657	14.6707370759409	16.1695137964516	0	0	0
Xetro.C00970|cdx1	scaffold_3	44788796	44807112	18317	0.899159029028014	0.928610004543143	0.849383677714882	1.59819069223406	12.2478247846215	12.0110377646694	NA	5.00754173516483	0.108518711326575	1	1
Xetro.H00596|cdx4	scaffold_8	26298295	26306561	8267	1.01703231899754	0.865497134920001	1.02198307298116	1.52394887158252	12.2467868161345	16.0644578626443	NA	8.31038841155014	0.0193506256764139	1	1
Xetro.H00560|gjb1	scaffold_8	24746751	24755120	8370	0.972476125837111	1.10679329175489	0.753035792503122	0.531325923034585	11.1092847964079	22.521203446077	NA	NA	0.978071191810705	1	1
Xetro.B01869|gjb2	scaffold_2	109247873	109258424	10552	1.11969059092191	0.903704415698258	0.89688021612784	0.787260322120215	10.160792159809	17.3102407643142	NA	9.91970172299318	0.10011987280093	1	1
Xetro.F01344|cbx3	scaffold_6	103983243	104020283	37041	0.922247773734895	0.928429405826017	2.52592508205718	10.0914008587168	9.14807309292262	7.5798977413918	0.607779275413807	1.57922552864819	843.056293671992	1	1
Xetro.I02074|msgn1	scaffold_9	96833397	96834422	1026	0.759534605807236	1.08679951264595	0.472765370038076	0.414975750635054	8.74041307435508	13.3716216290682	NA	NA	0	1	0
Xetro.C00465|ggcx	scaffold_3	12034290	12050167	15878	0.936979142491888	0.907982168667309	3.58469703388449	14.0959930365255	8.5552395282689	10.9086519830984	1.66075312571514	1.16144084738515	39.1395267564277	1	1
Xetro.G00798|elovl3	scaffold_7	41665344	41678360	13017	1.07355768068454	1.12141682856885	0.882477980489588	1.16096478252849	7.3813247091342	5.44593829720562	NA	NA	0.0658123565189919	1	1
Xetro.H00338|nr6a1	scaffold_8	15956088	15992410	36323	0.80058552870951	0.834776176469488	0.749996561162429	1.3823105060857	7.3812502257436	13.734896771626	2.7601221202184	4.77553207948151	6.09464267083785	1	1
Xetro.C01356|slc22a4	scaffold_3	67571858	67608195	36338	0.978853275005499	1.0947280602289	1.14717210663013	0.83746149793623	7.36026532459325	6.03725211553366	NA	9.1544122345982	2.77256876904218	1	1
Xetro.I00145|stk16	scaffold_9	5294077	5303040	8964	0.925992766527823	0.910061921645787	1.47221218347404	6.1167776839945	7.33657058931556	7.57629698304925	3.68687040426656	0.845429124118737	40.5365120366213	1	1
Xetro.G01636|esr10	scaffold_7	94473527	94474674	1148	0.813660803370025	0.921706320834606	2.3335325109824	1.70125260049569	6.87816995119808	7.98731570998697	NA	NA	0.0404940097226974	1	1
Xetro.I00321|sp5	scaffold_9	17808387	17812641	4255	1.01757413590243	1.00793405669658	1.8309701378955	0.535266219244809	6.75895868326873	17.9770710061549	NA	NA	0.355319292274204	1	1
Xetro.J00553|dlx3	scaffold_10	21514746	21519774	5029	0.817273039771166	0.905638447858104	0.815602430208196	1.02037658953175	6.59278657146217	11.5054432176495	NA	NA	0	1	0
Xetro.B01574|lima1	scaffold_2	93086688	93113201	26514	0.865419642115878	0.830157486551711	0.883645615049709	1.64853057259438	6.45629659387505	9.17193422926406	0.497022300500678	0.884235706865171	126.739898071965	1	1
Xetro.C01993|kiaa1324l	scaffold_3	109551950	109601213	49264	1.12597590190463	1.14696867488381	1.15285452877393	1.35600709661001	6.37268116954224	7.00497006983548	NA	14.1683974977311	0.0307363741119154	1	1
Xetro.C00079|creb3l2	scaffold_3	1862875	1894941	32067	0.772778122407035	0.701945187549846	0.734056615383484	1.91383085724776	6.09016048051382	5.96222171778408	0	2.09243708219387	4.05775996938469	1	1
Xetro.D01662|	scaffold_4	85675754	85677696	1943	1.1799555290453	0.822930620683401	0.923962147101201	1.76267861167543	6.08356679408677	13.4021984979902	NA	NA	3.8786687825589	1	0
Xetro.D01778|bola2	scaffold_4	92717408	92718573	1166	1.01532848886028	1.03088050940576	2.48103559963743	6.00828014734652	6.04669041062594	6.97647538708373	NA	NA	123.334590045058	1	0
Xetro.E00020|plod2	scaffold_5	1701787	1769077	67291	1.06917986755155	0.989150829504521	1.08042886040534	1.45722649384508	6.04206399664545	5.11975753646941	1.66609650872754	2.41558774268643	10.487935728486	1	1
Xetro.D01265|uap1	scaffold_4	70567525	70582017	14493	1.01308415840158	1.03572343902097	1.4954731804963	1.60572054656859	5.97990736619407	9.44413178794656	0.626482499836304	0.798316842900939	350.344914838884	1	1
Xetro.G00440|anxa4	scaffold_7	19889157	19914610	25454	1.08646515930631	0.846329019160259	0.761590005205184	1.1788691345402	5.86954578706416	8.02908161357496	0.861832351590653	0.203008448722898	113.898620138867	1	1
Xetro.K00325|elavl3	scaffold_26	178247	209453	31207	0.970958850111276	0.860641405080219	0.722469787704407	1.43558125727791	5.74068174379708	4.51894601877759	NA	6.90039251105713	0.15403132120029	1	1
Xetro.H00625|unnamed	scaffold_8	27700965	27703616	2652	0.750823158399127	1.06788082851867	0.68656492164088	1.83468966747957	5.71850278867544	4.63374614506808	0	0	14.6732968793519	1	1
Xetro.H02295|crabp1	scaffold_8	107699509	107713301	13793	0.875203049571799	0.747946497749323	0.767100565275431	1.11201779568987	5.70252075307888	12.0988140055543	NA	NA	0	1	1
Xetro.J00598|myt1	scaffold_10	23152301	23168483	16183	1.0016507697584	0.847483640072896	0.837063387349991	0.810318188035354	5.69486234775555	4.94296121715289	NA	9.70088477322127	0	0	1
Xetro.A00396|ptger4	scaffold_1	25382542	25396517	13976	1.02515151866997	0.901220009683901	0.866924266717216	0.881072083264093	5.66016006616487	4.01282369024656	NA	7.67823066058607	0.0555281275238666	1	1
Xetro.A00905|dynll1	scaffold_1	56218320	56220379	2060	1.11543041098505	0.831291676371258	1.90010205720634	1.74765454677169	5.59008352643665	15.7974671632957	0	2.46039845885264	237.779822445731	1	1
Xetro.H01889|zfp36l1	scaffold_8	96719955	96724277	4323	0.767936193339744	0.720912478872745	0.546702579440202	1.04926001801669	5.5460886611601	13.7097021765781	2.71800731218123	1.61354122577533	25.9718256361284	1	1
Xetro.H00410|neurog2	scaffold_8	18518307	18521439	3133	1.01784093814899	1.08093094684478	2.18284219775922	1.54978150490767	5.43371795860986	3.16926721577126	NA	NA	0.330123512253479	1	1
