## ACTIVE GENE SELECTION CRITERIA based on... 
# (1) riboZero RNA can be detected reliably for differential expression analysis 
## i.e. min. average of 3 t.p.m. over 3 consecutive time points (~30 min intervals) UP TO STAGE 13 (~12 hpf) 
# (2) RNAPII ChIP enrichment conditions (covering at least 80% of the genebody): 
## 2.6-fold at this stage OR 
## 1.8-fold at this stage AND 1.4-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.8-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.4-fold at next two stages 
# (3) optional: H3K4me3 mark within genebody 

## rzRNA data selection for RNAPII ChIP: 
## +/- 1h from ChIP time point, min. average of 0.1 t.p.m. (=detection limit) over 3 consecutive time points 

## ZYGOTIC GENOME ACTIVATION: 
# Total number of genes: 12969 
# Number of activated genes: 3432 
# Percentage of genes with zygotic contribution: 26.4631043256997 

scaffold	start	end	gene.length	pol2.6.mean	pol2.7.mean	pol2.8.mean	pol2.8p.mean	pol2.11.mean	pol2.12p.mean	tu.st8p.toInput	tu.st10p.toInput	maternal.tpm	h3k4me3	h3k36me3
Xetro.K01436|	scaffold_109	145719	146926	1208	0.543117672600956	1.1877568600013	44.7372487654722	184.6823465728	179.751143180394	86.5096541895954	6.01353349553306	6.03114217808823	7.72939303011575	0	0
Xetro.D01489|	scaffold_4	81669529	81670002	474	8.05896358543417	10.5817927170868	65.7190530058177	435.896024563672	153.721001221001	109.909812001724	NA	8.47788461209301	8.5052539059742	0	0
Xetro.K01435|hist1h2bj	scaffold_109	144805	145481	677	1.37396377849385	3.0500458206271	37.1491497601763	123.584677562132	149.650957031331	71.7522423644292	1.28387298129009	1.86305088387368	59.2915450576698	0	0
Xetro.B00284|eef1a1o	scaffold_2	14048738	14055226	6489	0.909258001944648	1.22013322109641	36.5202487138616	217.300788978247	146.654814463032	103.851495106118	4.53149817638072	5.56234070590794	619.626638785072	1	1
Xetro.D01484|hist1h2ad	scaffold_4	81649243	81649932	690	2.676230393726	18.7732234314981	98.4252740877083	392.198587548016	145.859341655997	229.416923415493	5.82159752403384	6.05563186578072	15.8651703975898	0	0
Xetro.D01540|hist1h2aj	scaffold_4	82216675	82217329	655	2.04578735101374	8.82326563978638	70.9859525891966	234.991636829185	138.970695167482	112.159609157087	NA	NA	2.04972800903004	0	0
Xetro.K01099|	scaffold_75	231636	232524	889	2.22665840580679	10.0413322071152	90.3991284607058	175.144232322131	134.806872469828	148.222740246117	NA	NA	1.12755718152545	0	0
Xetro.D01520|	scaffold_4	81976692	81977768	1077	1.54142857142857	15.6430158730159	74.1600000000001	151.294642857143	115.706349206349	61.7624007936508	0.834714350872499	2.05572765969924	1.95327566902326	0	0
Xetro.K00650|	scaffold_38	585074	586071	998	2.50180711531956	11.225801370724	77.1660352802037	227.514536580196	115.675254789878	91.191060851513	NA	NA	2.76628490882713	1	0
Xetro.K00648|	scaffold_38	581932	582232	301	6.36128322647431	12.9734559386383	61.7846020432933	210.081267724211	106.781338621056	203.209047037873	3.37860570591249	1.88300123099173	14.3552173241555	1	0
Xetro.K01106|	scaffold_75	288524	289076	553	2.0292186564951	7.16164269002507	49.8282986905727	261.222387933709	104.475253747977	94.962194971693	NA	8.67973900761903	5.1592879665351	1	0
Xetro.K01107|hist2h2be	scaffold_75	290851	292621	1771	1.84348735958316	7.86632527479006	62.1746601100059	181.004716352603	102.037537070605	111.657871248196	NA	7.21356687795366	1.27480446550761	1	0
Xetro.B00035|id3	scaffold_2	1347202	1349339	2138	0.909389505768925	1.00546465423482	14.7206509017605	96.4738381555744	100.107316367781	91.8617146367674	17.071183271496	9.58419902322684	10.5257324400983	1	1
Xetro.K00639|	scaffold_38	462284	462977	694	1.08023809523809	2.61526393895959	32.7228901804717	321.545513833992	96.4979232723798	28.9488757166746	3.78403839062199	2.29757797260504	30.2183382236437	1	0
Xetro.K00798|	scaffold_44	666565	667185	621	2.6864129174397	2.79231137909709	25.9059131493507	103.12834299629	93.1140744176458	130.407463667285	0.583517278529794	0.980929408395302	28.5229349507806	0	0
Xetro.F01971|	scaffold_6	141904471	141905119	649	1.65001979121798	4.65106416779328	46.0622343312194	223.431714540535	88.706973758844	114.561701065625	NA	NA	0.142970196452194	0	0
Xetro.H00991|hist1h4c	scaffold_8	50773323	50774106	784	1.63712676319943	3.38070750440973	67.6589068464614	212.798773340756	87.7471669348627	77.6402486307095	NA	NA	0	1	0
Xetro.G01589|unnamed	scaffold_7	91273435	91276590	3156	1.14063172489438	1.47309935280456	14.3694273360162	95.6298361600785	85.2928924286068	72.0399676679747	1.09590505585011	2.290125748642	109.885478180313	1	1
Xetro.K05052|	scaffold_8c	3127324	3128367	1044	2.32079804840636	7.56448529638378	48.0245312998237	146.592990905949	85.0121015370106	113.611335638521	6.96390258442199	4.79573814916766	13.1632294400324	1	0
Xetro.A02260|cirbp	scaffold_1	126570647	126578172	7526	1.25947663411518	3.20918874145392	24.9203833849983	96.4289611794231	84.8478239051366	82.9339706062742	2.71642273428051	3.96874136221656	1643.82272658595	1	1
